2025-10-21 07:57:12,171 - INFO - 
==================== 实验配置 ====================
2025-10-21 07:57:12,172 - INFO - 种子: 2023
2025-10-21 07:57:12,172 - INFO - 融合方法: pmdf
2025-10-21 07:57:12,172 - INFO - 模态组合: ['ask', 'face']
2025-10-21 07:57:12,172 - INFO - 批次大小: 32
2025-10-21 07:57:12,173 - INFO - 训练轮数: 1000
2025-10-21 07:57:12,173 - INFO - 学习率: 0.001
2025-10-21 07:57:12,173 - INFO - 早停轮数: 100
2025-10-21 07:57:12,173 - INFO - K折交叉验证: 5
2025-10-21 07:57:12,173 - INFO - 损失函数: MultiClassFocalLossWithAlpha
2025-10-21 07:57:12,173 - INFO - 优化器: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0
)
2025-10-21 07:57:12,173 - INFO - 设备: cpu
2025-10-21 07:57:12,174 - INFO - =================================================

2025-10-21 07:57:12,174 - INFO - 
----- 第 1/5 折 -----
2025-10-21 07:57:12,249 - INFO - 训练设备: cpu | 融合方法: pmdf | 模态组合: ['ask', 'face']
2025-10-21 07:57:14,418 - INFO - Epoch 1: train_loss=0.1075, train_acc=0.3492, dev_loss=0.0666, dev_acc=0.3180, time=2.2s
2025-10-21 07:57:16,623 - INFO - Epoch 2: train_loss=0.0665, train_acc=0.3954, dev_loss=0.0655, dev_acc=0.3180, time=2.2s
2025-10-21 07:57:18,770 - INFO - Epoch 3: train_loss=0.0637, train_acc=0.4108, dev_loss=0.0663, dev_acc=0.3180, time=2.1s
2025-10-21 07:57:21,025 - INFO - Epoch 4: train_loss=0.0698, train_acc=0.3831, dev_loss=3.2021, dev_acc=0.4147, time=2.3s
2025-10-21 07:57:23,287 - INFO - Epoch 5: train_loss=0.0691, train_acc=0.4015, dev_loss=0.2005, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:25,640 - INFO - Epoch 6: train_loss=0.0638, train_acc=0.4246, dev_loss=0.1763, dev_acc=0.4147, time=2.4s
2025-10-21 07:57:27,852 - INFO - Epoch 7: train_loss=0.0634, train_acc=0.3985, dev_loss=0.6887, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:29,984 - INFO - Epoch 8: train_loss=0.0639, train_acc=0.3892, dev_loss=0.1867, dev_acc=0.4101, time=2.1s
2025-10-21 07:57:32,184 - INFO - Epoch 9: train_loss=0.0629, train_acc=0.4077, dev_loss=0.3122, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:34,400 - INFO - Epoch 10: train_loss=0.0630, train_acc=0.4000, dev_loss=0.2134, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:36,730 - INFO - Epoch 11: train_loss=0.0624, train_acc=0.4092, dev_loss=0.1093, dev_acc=0.2857, time=2.3s
2025-10-21 07:57:38,964 - INFO - Epoch 12: train_loss=0.0630, train_acc=0.4108, dev_loss=0.6844, dev_acc=0.2673, time=2.2s
2025-10-21 07:57:41,197 - INFO - Epoch 13: train_loss=0.0624, train_acc=0.4262, dev_loss=0.3827, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:43,303 - INFO - Epoch 14: train_loss=0.0626, train_acc=0.4000, dev_loss=0.3959, dev_acc=0.4147, time=2.1s
2025-10-21 07:57:45,633 - INFO - Epoch 15: train_loss=0.0620, train_acc=0.4138, dev_loss=0.1707, dev_acc=0.4147, time=2.3s
2025-10-21 07:57:47,959 - INFO - Epoch 16: train_loss=0.0613, train_acc=0.4292, dev_loss=0.0720, dev_acc=0.2995, time=2.3s
2025-10-21 07:57:50,383 - INFO - Epoch 17: train_loss=0.0624, train_acc=0.4077, dev_loss=1.6390, dev_acc=0.2673, time=2.4s
2025-10-21 07:57:52,627 - INFO - Epoch 18: train_loss=0.0625, train_acc=0.4338, dev_loss=0.1084, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:54,800 - INFO - Epoch 19: train_loss=0.0620, train_acc=0.4015, dev_loss=0.3690, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:57,045 - INFO - Epoch 20: train_loss=0.0614, train_acc=0.4323, dev_loss=0.4538, dev_acc=0.4147, time=2.2s
2025-10-21 07:57:59,435 - INFO - Epoch 21: train_loss=0.0618, train_acc=0.4046, dev_loss=0.6204, dev_acc=0.4147, time=2.4s
2025-10-21 07:58:02,585 - INFO - Epoch 22: train_loss=0.0626, train_acc=0.4046, dev_loss=0.1404, dev_acc=0.4147, time=3.1s
2025-10-21 07:58:05,298 - INFO - Epoch 23: train_loss=0.0619, train_acc=0.4277, dev_loss=0.0877, dev_acc=0.3272, time=2.7s
2025-10-21 07:58:07,928 - INFO - Epoch 24: train_loss=0.0617, train_acc=0.4215, dev_loss=0.0768, dev_acc=0.4147, time=2.6s
2025-10-21 07:58:10,991 - INFO - Epoch 25: train_loss=0.0615, train_acc=0.4200, dev_loss=0.0798, dev_acc=0.4147, time=3.1s
2025-10-21 07:58:14,032 - INFO - Epoch 26: train_loss=0.0615, train_acc=0.4092, dev_loss=0.0915, dev_acc=0.3456, time=3.0s
2025-10-21 07:58:16,748 - INFO - Epoch 27: train_loss=0.0618, train_acc=0.4215, dev_loss=0.0789, dev_acc=0.4147, time=2.7s
2025-10-21 07:58:19,320 - INFO - Epoch 28: train_loss=0.0620, train_acc=0.4215, dev_loss=0.0718, dev_acc=0.4147, time=2.6s
2025-10-21 07:58:22,433 - INFO - Epoch 29: train_loss=0.0612, train_acc=0.4246, dev_loss=0.0635, dev_acc=0.4101, time=3.1s
2025-10-21 07:58:25,395 - INFO - Epoch 30: train_loss=0.0613, train_acc=0.4231, dev_loss=0.0647, dev_acc=0.4009, time=3.0s
2025-10-21 07:58:28,167 - INFO - Epoch 31: train_loss=0.0623, train_acc=0.4108, dev_loss=0.0681, dev_acc=0.4055, time=2.8s
2025-10-21 07:58:30,701 - INFO - Epoch 32: train_loss=0.0619, train_acc=0.4323, dev_loss=0.0651, dev_acc=0.3917, time=2.5s
2025-10-21 07:58:33,946 - INFO - Epoch 33: train_loss=0.0614, train_acc=0.4292, dev_loss=0.0732, dev_acc=0.2857, time=3.2s
2025-10-21 07:58:36,494 - INFO - Epoch 34: train_loss=0.0617, train_acc=0.4231, dev_loss=0.0800, dev_acc=0.2903, time=2.5s
2025-10-21 07:58:39,030 - INFO - Epoch 35: train_loss=0.0611, train_acc=0.4431, dev_loss=0.0683, dev_acc=0.4101, time=2.5s
2025-10-21 07:58:41,463 - INFO - Epoch 36: train_loss=0.0614, train_acc=0.4292, dev_loss=0.0646, dev_acc=0.3963, time=2.4s
2025-10-21 07:58:44,338 - INFO - Epoch 37: train_loss=0.0612, train_acc=0.4246, dev_loss=0.0662, dev_acc=0.4055, time=2.9s
2025-10-21 07:58:47,030 - INFO - Epoch 38: train_loss=0.0613, train_acc=0.4154, dev_loss=0.0824, dev_acc=0.2811, time=2.7s
2025-10-21 07:58:49,600 - INFO - Epoch 39: train_loss=0.0614, train_acc=0.4200, dev_loss=0.0840, dev_acc=0.4147, time=2.6s
2025-10-21 07:58:52,124 - INFO - Epoch 40: train_loss=0.0610, train_acc=0.4154, dev_loss=0.0826, dev_acc=0.4147, time=2.5s
2025-10-21 07:58:54,617 - INFO - Epoch 41: train_loss=0.0616, train_acc=0.4231, dev_loss=0.0813, dev_acc=0.4009, time=2.5s
2025-10-21 07:58:57,462 - INFO - Epoch 42: train_loss=0.0608, train_acc=0.4185, dev_loss=0.0691, dev_acc=0.4009, time=2.8s
2025-10-21 07:59:00,010 - INFO - Epoch 43: train_loss=0.0614, train_acc=0.4323, dev_loss=0.3203, dev_acc=0.4147, time=2.5s
2025-10-21 07:59:03,037 - INFO - Epoch 44: train_loss=0.0610, train_acc=0.4308, dev_loss=0.0621, dev_acc=0.4194, time=3.0s
2025-10-21 07:59:07,165 - INFO - Epoch 45: train_loss=0.0605, train_acc=0.4400, dev_loss=0.0752, dev_acc=0.3594, time=4.1s
2025-10-21 07:59:10,411 - INFO - Epoch 46: train_loss=0.0612, train_acc=0.4400, dev_loss=0.0761, dev_acc=0.4147, time=3.2s
2025-10-21 07:59:13,482 - INFO - Epoch 47: train_loss=0.0617, train_acc=0.4231, dev_loss=0.1051, dev_acc=0.4147, time=3.1s
2025-10-21 07:59:16,229 - INFO - Epoch 48: train_loss=0.0612, train_acc=0.4262, dev_loss=0.4112, dev_acc=0.4147, time=2.7s
2025-10-21 07:59:18,787 - INFO - Epoch 49: train_loss=0.0605, train_acc=0.4415, dev_loss=0.1887, dev_acc=0.4147, time=2.6s
2025-10-21 07:59:21,926 - INFO - Epoch 50: train_loss=0.0603, train_acc=0.4415, dev_loss=0.0927, dev_acc=0.2857, time=3.1s
2025-10-21 07:59:24,737 - INFO - Epoch 51: train_loss=0.0603, train_acc=0.4262, dev_loss=0.1331, dev_acc=0.4055, time=2.8s
2025-10-21 07:59:27,418 - INFO - Epoch 52: train_loss=0.0616, train_acc=0.4215, dev_loss=0.1063, dev_acc=0.4147, time=2.7s
2025-10-21 07:59:29,890 - INFO - Epoch 53: train_loss=0.0611, train_acc=0.4338, dev_loss=0.0665, dev_acc=0.4147, time=2.5s
2025-10-21 07:59:32,955 - INFO - Epoch 54: train_loss=0.0610, train_acc=0.4338, dev_loss=0.1904, dev_acc=0.4147, time=3.1s
2025-10-21 07:59:35,755 - INFO - Epoch 55: train_loss=0.0611, train_acc=0.4462, dev_loss=0.1416, dev_acc=0.2719, time=2.8s
2025-10-21 07:59:38,499 - INFO - Epoch 56: train_loss=0.0615, train_acc=0.4415, dev_loss=0.1697, dev_acc=0.4147, time=2.7s
2025-10-21 07:59:40,962 - INFO - Epoch 57: train_loss=0.0599, train_acc=0.4323, dev_loss=0.1253, dev_acc=0.2719, time=2.5s
2025-10-21 07:59:44,013 - INFO - Epoch 58: train_loss=0.0608, train_acc=0.4231, dev_loss=0.0836, dev_acc=0.4147, time=3.1s
2025-10-21 07:59:46,806 - INFO - Epoch 59: train_loss=0.0604, train_acc=0.4400, dev_loss=0.0708, dev_acc=0.4147, time=2.8s
2025-10-21 07:59:49,505 - INFO - Epoch 60: train_loss=0.0602, train_acc=0.4554, dev_loss=0.1202, dev_acc=0.4147, time=2.7s
2025-10-21 07:59:52,028 - INFO - Epoch 61: train_loss=0.0602, train_acc=0.4323, dev_loss=0.0749, dev_acc=0.3594, time=2.5s
2025-10-21 07:59:55,032 - INFO - Epoch 62: train_loss=0.0610, train_acc=0.4446, dev_loss=0.2177, dev_acc=0.4147, time=3.0s
2025-10-21 07:59:57,889 - INFO - Epoch 63: train_loss=0.0604, train_acc=0.4262, dev_loss=0.1130, dev_acc=0.4147, time=2.9s
2025-10-21 08:00:00,527 - INFO - Epoch 64: train_loss=0.0594, train_acc=0.4600, dev_loss=0.0789, dev_acc=0.2903, time=2.6s
2025-10-21 08:00:03,014 - INFO - Epoch 65: train_loss=0.0603, train_acc=0.4262, dev_loss=0.0651, dev_acc=0.3963, time=2.5s
2025-10-21 08:00:05,802 - INFO - Epoch 66: train_loss=0.0603, train_acc=0.4354, dev_loss=0.1033, dev_acc=0.2719, time=2.8s
2025-10-21 08:00:08,376 - INFO - Epoch 67: train_loss=0.0604, train_acc=0.4246, dev_loss=0.1051, dev_acc=0.4147, time=2.6s
2025-10-21 08:00:10,949 - INFO - Epoch 68: train_loss=0.0600, train_acc=0.4262, dev_loss=0.0825, dev_acc=0.2995, time=2.6s
2025-10-21 08:00:13,362 - INFO - Epoch 69: train_loss=0.0609, train_acc=0.4508, dev_loss=0.0680, dev_acc=0.4147, time=2.4s
2025-10-21 08:00:15,983 - INFO - Epoch 70: train_loss=0.0597, train_acc=0.4369, dev_loss=0.0742, dev_acc=0.4147, time=2.6s
2025-10-21 08:00:18,793 - INFO - Epoch 71: train_loss=0.0602, train_acc=0.4431, dev_loss=0.0666, dev_acc=0.4055, time=2.8s
2025-10-21 08:00:21,343 - INFO - Epoch 72: train_loss=0.0611, train_acc=0.4415, dev_loss=0.0686, dev_acc=0.3779, time=2.5s
2025-10-21 08:00:23,869 - INFO - Epoch 73: train_loss=0.0617, train_acc=0.4323, dev_loss=0.0650, dev_acc=0.4055, time=2.5s
2025-10-21 08:00:26,440 - INFO - Epoch 74: train_loss=0.0599, train_acc=0.4508, dev_loss=0.0725, dev_acc=0.2903, time=2.6s
2025-10-21 08:00:29,334 - INFO - Epoch 75: train_loss=0.0607, train_acc=0.4262, dev_loss=0.0673, dev_acc=0.3917, time=2.9s
2025-10-21 08:00:32,169 - INFO - Epoch 76: train_loss=0.0600, train_acc=0.4431, dev_loss=0.0642, dev_acc=0.3779, time=2.8s
2025-10-21 08:00:34,930 - INFO - Epoch 77: train_loss=0.0600, train_acc=0.4462, dev_loss=0.0637, dev_acc=0.4240, time=2.8s
2025-10-21 08:00:37,366 - INFO - Epoch 78: train_loss=0.0596, train_acc=0.4538, dev_loss=0.0640, dev_acc=0.4055, time=2.4s
2025-10-21 08:00:40,142 - INFO - Epoch 79: train_loss=0.0602, train_acc=0.4477, dev_loss=0.0632, dev_acc=0.3917, time=2.8s
2025-10-21 08:00:42,786 - INFO - Epoch 80: train_loss=0.0608, train_acc=0.4477, dev_loss=0.0660, dev_acc=0.4147, time=2.6s
2025-10-21 08:00:45,387 - INFO - Epoch 81: train_loss=0.0609, train_acc=0.4308, dev_loss=0.0626, dev_acc=0.4009, time=2.6s
2025-10-21 08:00:47,881 - INFO - Epoch 82: train_loss=0.0603, train_acc=0.4415, dev_loss=0.0664, dev_acc=0.4147, time=2.5s
2025-10-21 08:00:50,515 - INFO - Epoch 83: train_loss=0.0602, train_acc=0.4369, dev_loss=0.0633, dev_acc=0.4055, time=2.6s
2025-10-21 08:00:53,196 - INFO - Epoch 84: train_loss=0.0598, train_acc=0.4338, dev_loss=0.0629, dev_acc=0.3917, time=2.7s
2025-10-21 08:00:55,720 - INFO - Epoch 85: train_loss=0.0599, train_acc=0.4385, dev_loss=0.0618, dev_acc=0.4055, time=2.5s
2025-10-21 08:00:58,274 - INFO - Epoch 86: train_loss=0.0605, train_acc=0.4431, dev_loss=0.0628, dev_acc=0.4147, time=2.6s
2025-10-21 08:01:00,714 - INFO - Epoch 87: train_loss=0.0605, train_acc=0.4262, dev_loss=0.0640, dev_acc=0.3687, time=2.4s
2025-10-21 08:01:03,439 - INFO - Epoch 88: train_loss=0.0603, train_acc=0.4477, dev_loss=0.0630, dev_acc=0.4101, time=2.7s
2025-10-21 08:01:06,310 - INFO - Epoch 89: train_loss=0.0600, train_acc=0.4431, dev_loss=0.0637, dev_acc=0.3963, time=2.9s
2025-10-21 08:01:09,135 - INFO - Epoch 90: train_loss=0.0607, train_acc=0.4431, dev_loss=0.0632, dev_acc=0.4009, time=2.8s
2025-10-21 08:01:11,603 - INFO - Epoch 91: train_loss=0.0599, train_acc=0.4385, dev_loss=0.0628, dev_acc=0.4055, time=2.5s
2025-10-21 08:01:14,299 - INFO - Epoch 92: train_loss=0.0602, train_acc=0.4538, dev_loss=0.0630, dev_acc=0.4147, time=2.7s
2025-10-21 08:01:17,048 - INFO - Epoch 93: train_loss=0.0601, train_acc=0.4508, dev_loss=0.0629, dev_acc=0.4147, time=2.7s
2025-10-21 08:01:19,573 - INFO - Epoch 94: train_loss=0.0597, train_acc=0.4492, dev_loss=0.0629, dev_acc=0.3871, time=2.5s
2025-10-21 08:01:22,163 - INFO - Epoch 95: train_loss=0.0605, train_acc=0.4308, dev_loss=0.0629, dev_acc=0.4009, time=2.6s
2025-10-21 08:01:24,675 - INFO - Epoch 96: train_loss=0.0610, train_acc=0.4538, dev_loss=0.0632, dev_acc=0.4009, time=2.5s
2025-10-21 08:01:27,395 - INFO - Epoch 97: train_loss=0.0597, train_acc=0.4169, dev_loss=0.0627, dev_acc=0.4009, time=2.7s
2025-10-21 08:01:30,087 - INFO - Epoch 98: train_loss=0.0598, train_acc=0.4308, dev_loss=0.0628, dev_acc=0.3963, time=2.7s
2025-10-21 08:01:32,602 - INFO - Epoch 99: train_loss=0.0606, train_acc=0.4385, dev_loss=0.0627, dev_acc=0.4194, time=2.5s
2025-10-21 08:01:35,138 - INFO - Epoch 100: train_loss=0.0600, train_acc=0.4431, dev_loss=0.0629, dev_acc=0.4101, time=2.5s
2025-10-21 08:01:37,908 - INFO - Epoch 101: train_loss=0.0599, train_acc=0.4554, dev_loss=0.0632, dev_acc=0.3871, time=2.8s
2025-10-21 08:01:40,566 - INFO - Epoch 102: train_loss=0.0608, train_acc=0.4431, dev_loss=0.0630, dev_acc=0.3963, time=2.7s
2025-10-21 08:01:43,065 - INFO - Epoch 103: train_loss=0.0597, train_acc=0.4369, dev_loss=0.0629, dev_acc=0.4055, time=2.5s
2025-10-21 08:01:45,808 - INFO - Epoch 104: train_loss=0.0601, train_acc=0.4215, dev_loss=0.0630, dev_acc=0.4055, time=2.7s
2025-10-21 08:01:48,649 - INFO - Epoch 105: train_loss=0.0599, train_acc=0.4415, dev_loss=0.0631, dev_acc=0.4055, time=2.8s
2025-10-21 08:01:51,643 - INFO - Epoch 106: train_loss=0.0600, train_acc=0.4431, dev_loss=0.0629, dev_acc=0.3963, time=3.0s
2025-10-21 08:01:54,401 - INFO - Epoch 107: train_loss=0.0615, train_acc=0.4492, dev_loss=0.0630, dev_acc=0.4055, time=2.8s
