2025-10-21 09:11:51,181 - INFO - 
==================== 实验配置 ====================
2025-10-21 09:11:51,183 - INFO - 种子: 2023
2025-10-21 09:11:51,184 - INFO - 融合方法: pmdf
2025-10-21 09:11:51,184 - INFO - 模态组合: ['ask', 'face', 'tongue']
2025-10-21 09:11:51,185 - INFO - 批次大小: 32
2025-10-21 09:11:51,186 - INFO - 训练轮数: 1000
2025-10-21 09:11:51,187 - INFO - 学习率: 0.001
2025-10-21 09:11:51,188 - INFO - 早停轮数: 100
2025-10-21 09:11:51,189 - INFO - K折交叉验证: 5
2025-10-21 09:11:51,190 - INFO - 损失函数: MultiClassFocalLossWithAlpha
2025-10-21 09:11:51,190 - INFO - 优化器: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0
)
2025-10-21 09:11:51,194 - INFO - 设备: cpu
2025-10-21 09:11:51,195 - INFO - =================================================

2025-10-21 09:11:51,198 - INFO - 
----- 第 1/5 折 -----
2025-10-21 09:11:51,284 - INFO - 训练设备: cpu | 融合方法: pmdf | 模态组合: ['ask', 'face', 'tongue']
2025-10-21 09:11:54,022 - INFO - Epoch 1: train_loss=0.1116, train_acc=0.3831, dev_loss=13.5348, dev_acc=0.2673, time=2.7s
2025-10-21 09:11:56,535 - INFO - Epoch 2: train_loss=0.0666, train_acc=0.4062, dev_loss=5.9585, dev_acc=0.3180, time=2.5s
2025-10-21 09:11:58,801 - INFO - Epoch 3: train_loss=0.0649, train_acc=0.4215, dev_loss=9.9652, dev_acc=0.3180, time=2.3s
2025-10-21 09:12:01,262 - INFO - Epoch 4: train_loss=0.0632, train_acc=0.4369, dev_loss=3.4686, dev_acc=0.4147, time=2.5s
2025-10-21 09:12:04,127 - INFO - Epoch 5: train_loss=0.0639, train_acc=0.4246, dev_loss=7.1561, dev_acc=0.3180, time=2.8s
2025-10-21 09:12:06,591 - INFO - Epoch 6: train_loss=0.0623, train_acc=0.4108, dev_loss=5.6333, dev_acc=0.3180, time=2.5s
2025-10-21 09:12:08,836 - INFO - Epoch 7: train_loss=0.0644, train_acc=0.4077, dev_loss=2.4401, dev_acc=0.2673, time=2.2s
2025-10-21 09:12:11,025 - INFO - Epoch 8: train_loss=0.0633, train_acc=0.3877, dev_loss=1.1422, dev_acc=0.4147, time=2.2s
2025-10-21 09:12:13,882 - INFO - Epoch 9: train_loss=0.0632, train_acc=0.4062, dev_loss=2.4459, dev_acc=0.3180, time=2.9s
2025-10-21 09:12:16,368 - INFO - Epoch 10: train_loss=0.0634, train_acc=0.3985, dev_loss=1.1982, dev_acc=0.4147, time=2.5s
2025-10-21 09:12:18,739 - INFO - Epoch 11: train_loss=0.0615, train_acc=0.4246, dev_loss=0.9358, dev_acc=0.3180, time=2.4s
2025-10-21 09:12:21,193 - INFO - Epoch 12: train_loss=0.0618, train_acc=0.4231, dev_loss=1.1729, dev_acc=0.4147, time=2.5s
2025-10-21 09:12:24,200 - INFO - Epoch 13: train_loss=0.0615, train_acc=0.4369, dev_loss=0.6073, dev_acc=0.3226, time=3.0s
2025-10-21 09:12:26,998 - INFO - Epoch 14: train_loss=0.0617, train_acc=0.4231, dev_loss=0.2494, dev_acc=0.2673, time=2.8s
2025-10-21 09:12:29,708 - INFO - Epoch 15: train_loss=0.0624, train_acc=0.4246, dev_loss=0.2040, dev_acc=0.2535, time=2.7s
2025-10-21 09:12:32,421 - INFO - Epoch 16: train_loss=0.0618, train_acc=0.4092, dev_loss=0.5414, dev_acc=0.4147, time=2.7s
2025-10-21 09:12:35,391 - INFO - Epoch 17: train_loss=0.0622, train_acc=0.3954, dev_loss=0.4242, dev_acc=0.4147, time=3.0s
2025-10-21 09:12:38,056 - INFO - Epoch 18: train_loss=0.0623, train_acc=0.4092, dev_loss=2.0029, dev_acc=0.4147, time=2.7s
2025-10-21 09:12:40,433 - INFO - Epoch 19: train_loss=0.0617, train_acc=0.4292, dev_loss=1.2544, dev_acc=0.4147, time=2.4s
2025-10-21 09:12:42,773 - INFO - Epoch 20: train_loss=0.0616, train_acc=0.4308, dev_loss=0.1784, dev_acc=0.4147, time=2.3s
2025-10-21 09:12:45,224 - INFO - Epoch 21: train_loss=0.0620, train_acc=0.4292, dev_loss=0.3172, dev_acc=0.2673, time=2.5s
2025-10-21 09:12:47,321 - INFO - Epoch 22: train_loss=0.0614, train_acc=0.4138, dev_loss=0.4600, dev_acc=0.3180, time=2.1s
2025-10-21 09:12:49,370 - INFO - Epoch 23: train_loss=0.0625, train_acc=0.4262, dev_loss=0.3293, dev_acc=0.4194, time=2.0s
2025-10-21 09:12:51,529 - INFO - Epoch 24: train_loss=0.0621, train_acc=0.4215, dev_loss=0.7454, dev_acc=0.2673, time=2.1s
2025-10-21 09:12:53,488 - INFO - Epoch 25: train_loss=0.0618, train_acc=0.4338, dev_loss=0.2539, dev_acc=0.3180, time=2.0s
2025-10-21 09:12:55,544 - INFO - Epoch 26: train_loss=0.0620, train_acc=0.4185, dev_loss=0.0808, dev_acc=0.3226, time=2.1s
