2025-10-21 06:39:45,935 - INFO - 
==================== 实验配置 ====================
2025-10-21 06:39:45,936 - INFO - 种子: 2023
2025-10-21 06:39:45,936 - INFO - 融合方法: pmdf
2025-10-21 06:39:45,936 - INFO - 模态组合: ['face']
2025-10-21 06:39:45,936 - INFO - 批次大小: 32
2025-10-21 06:39:45,936 - INFO - 训练轮数: 1000
2025-10-21 06:39:45,937 - INFO - 学习率: 0.001
2025-10-21 06:39:45,937 - INFO - 早停轮数: 100
2025-10-21 06:39:45,938 - INFO - K折交叉验证: 5
2025-10-21 06:39:45,939 - INFO - 损失函数: MultiClassFocalLossWithAlpha
2025-10-21 06:39:45,940 - INFO - 优化器: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0
)
2025-10-21 06:39:45,942 - INFO - 设备: cpu
2025-10-21 06:39:45,942 - INFO - =================================================

2025-10-21 06:39:45,944 - INFO - 
----- 第 1/5 折 -----
2025-10-21 06:39:46,026 - INFO - 训练设备: cpu | 融合方法: pmdf | 模态组合: ['face']
2025-10-21 06:39:47,755 - INFO - Epoch 1: train_loss=0.0651, train_acc=0.4015, dev_loss=0.0644, dev_acc=0.4147, time=1.7s
2025-10-21 06:39:49,411 - INFO - Epoch 2: train_loss=0.0638, train_acc=0.3985, dev_loss=0.0629, dev_acc=0.4147, time=1.6s
2025-10-21 06:39:51,164 - INFO - Epoch 3: train_loss=0.0625, train_acc=0.4092, dev_loss=0.0667, dev_acc=0.3180, time=1.8s
2025-10-21 06:39:52,905 - INFO - Epoch 4: train_loss=0.0630, train_acc=0.4031, dev_loss=0.3161, dev_acc=0.2673, time=1.7s
2025-10-21 06:39:54,693 - INFO - Epoch 5: train_loss=0.0626, train_acc=0.4323, dev_loss=0.9841, dev_acc=0.2673, time=1.8s
2025-10-21 06:39:56,588 - INFO - Epoch 6: train_loss=0.0630, train_acc=0.3938, dev_loss=7.9016, dev_acc=0.3180, time=1.9s
2025-10-21 06:39:58,406 - INFO - Epoch 7: train_loss=0.0632, train_acc=0.3923, dev_loss=4.1685, dev_acc=0.3180, time=1.8s
2025-10-21 06:40:00,107 - INFO - Epoch 8: train_loss=0.0622, train_acc=0.4062, dev_loss=4.8660, dev_acc=0.3180, time=1.7s
2025-10-21 06:40:01,877 - INFO - Epoch 9: train_loss=0.0623, train_acc=0.4138, dev_loss=5.0595, dev_acc=0.3180, time=1.8s
2025-10-21 06:40:03,633 - INFO - Epoch 10: train_loss=0.0621, train_acc=0.4277, dev_loss=1.5242, dev_acc=0.2673, time=1.8s
2025-10-21 06:40:05,958 - INFO - Epoch 11: train_loss=0.0624, train_acc=0.4108, dev_loss=1.3657, dev_acc=0.3180, time=2.3s
2025-10-21 06:40:08,193 - INFO - Epoch 12: train_loss=0.0621, train_acc=0.4262, dev_loss=1.9660, dev_acc=0.3180, time=2.2s
2025-10-21 06:40:09,693 - INFO - Epoch 13: train_loss=0.0620, train_acc=0.4138, dev_loss=1.0235, dev_acc=0.3180, time=1.5s
2025-10-21 06:40:11,063 - INFO - Epoch 14: train_loss=0.0620, train_acc=0.4092, dev_loss=2.6376, dev_acc=0.3180, time=1.4s
2025-10-21 06:40:12,425 - INFO - Epoch 15: train_loss=0.0622, train_acc=0.4262, dev_loss=6.2634, dev_acc=0.4147, time=1.4s
2025-10-21 06:40:13,843 - INFO - Epoch 16: train_loss=0.0616, train_acc=0.4169, dev_loss=2.4343, dev_acc=0.3180, time=1.4s
2025-10-21 06:40:15,276 - INFO - Epoch 17: train_loss=0.0611, train_acc=0.4246, dev_loss=10.8429, dev_acc=0.3180, time=1.4s
2025-10-21 06:40:16,780 - INFO - Epoch 18: train_loss=0.0617, train_acc=0.4385, dev_loss=15.9458, dev_acc=0.3180, time=1.5s
2025-10-21 06:40:18,369 - INFO - Epoch 19: train_loss=0.0615, train_acc=0.4277, dev_loss=0.6096, dev_acc=0.3180, time=1.6s
2025-10-21 06:40:20,205 - INFO - Epoch 20: train_loss=0.0620, train_acc=0.4154, dev_loss=2.6643, dev_acc=0.3180, time=1.8s
