2025-10-21 08:50:04,639 - INFO - 
==================== 实验配置 ====================
2025-10-21 08:50:04,639 - INFO - 种子: 2023
2025-10-21 08:50:04,640 - INFO - 融合方法: pmdf
2025-10-21 08:50:04,640 - INFO - 模态组合: ['face', 'tongue']
2025-10-21 08:50:04,640 - INFO - 批次大小: 32
2025-10-21 08:50:04,641 - INFO - 训练轮数: 1000
2025-10-21 08:50:04,641 - INFO - 学习率: 0.001
2025-10-21 08:50:04,642 - INFO - 早停轮数: 100
2025-10-21 08:50:04,642 - INFO - K折交叉验证: 5
2025-10-21 08:50:04,642 - INFO - 损失函数: MultiClassFocalLossWithAlpha
2025-10-21 08:50:04,642 - INFO - 优化器: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0
)
2025-10-21 08:50:04,643 - INFO - 设备: cpu
2025-10-21 08:50:04,643 - INFO - =================================================

2025-10-21 08:50:04,643 - INFO - 
----- 第 1/5 折 -----
2025-10-21 08:50:04,740 - INFO - 训练设备: cpu | 融合方法: pmdf | 模态组合: ['face', 'tongue']
2025-10-21 08:50:06,404 - INFO - Epoch 1: train_loss=0.0686, train_acc=0.3231, dev_loss=0.0682, dev_acc=0.2673, time=1.7s
2025-10-21 08:50:08,199 - INFO - Epoch 2: train_loss=0.0668, train_acc=0.3723, dev_loss=0.0678, dev_acc=0.2673, time=1.8s
2025-10-21 08:50:10,534 - INFO - Epoch 3: train_loss=0.0665, train_acc=0.3738, dev_loss=0.0662, dev_acc=0.4147, time=2.3s
2025-10-21 08:50:12,675 - INFO - Epoch 4: train_loss=0.0645, train_acc=0.3831, dev_loss=0.7554, dev_acc=0.4147, time=2.1s
2025-10-21 08:50:14,710 - INFO - Epoch 5: train_loss=0.0636, train_acc=0.3846, dev_loss=2.0441, dev_acc=0.4147, time=2.0s
2025-10-21 08:50:16,817 - INFO - Epoch 6: train_loss=0.0636, train_acc=0.4015, dev_loss=4.3342, dev_acc=0.3180, time=2.1s
2025-10-21 08:50:19,153 - INFO - Epoch 7: train_loss=0.0626, train_acc=0.4031, dev_loss=4.3143, dev_acc=0.4147, time=2.3s
2025-10-21 08:50:21,473 - INFO - Epoch 8: train_loss=0.0629, train_acc=0.4077, dev_loss=2.2283, dev_acc=0.3180, time=2.3s
2025-10-21 08:50:23,577 - INFO - Epoch 9: train_loss=0.0640, train_acc=0.4154, dev_loss=1.5751, dev_acc=0.4147, time=2.1s
2025-10-21 08:50:25,725 - INFO - Epoch 10: train_loss=0.0632, train_acc=0.3954, dev_loss=3.5666, dev_acc=0.4147, time=2.1s
2025-10-21 08:50:27,960 - INFO - Epoch 11: train_loss=0.0627, train_acc=0.4169, dev_loss=2.1930, dev_acc=0.4147, time=2.2s
